thumb,"n. 拇指
vt. 以拇指拨弄, 笨拙地摆弄, 用拇指翻旧, 迅速翻阅, 作搭车手势"
can,"vt. 装罐
n. 罐头, 容器
aux. 能, 可以
[计] 作废字符"
ploy,"n. 手段, 活动, 玩乐"
flag down,打信号使停下
rob,"v. 抢劫；掠夺；盗取
n. 罗布；【男名】男子名
[网络] 抢夺；罗伯；剥夺"
jerk,"n. 性情古怪的人, 急拉, 肌肉抽搐, 牛肉干
vi. 痉挛, 急拉, 急推
vt. 猛拉"
gang,"n. 队, 群, 帮
vi. 成群结队, 结成一伙
vt. 使成群结队"
addict,"vt. 使沉溺, 使上瘾
n. 入迷的人, 上瘾者"
murderer,"n. 凶手, 杀人者, 谋害者
[法] 谋杀犯, 凶手"
rapist,"n. 强奸犯
[法] 强奸犯"
carjacker,n. 武力劫夺汽车；抢劫司机财物 (carjacking的变形)
lurk,"n. 潜伏, 潜行
vi. 暗藏, 潜伏, 埋伏
[计] 隐匿阅读"
risk,"n. 冒险, 危险, 保险额
vt. 冒...的危险, 冒险干"
motto,"n. 箴言, 座右铭, 警句"
hitchhiker,搭便车的人；搭顺风车的人
stranded,"a. 处于困境的, 进退两难的"
as much,"na. 同量的；同样地
[网络] 同样多；同样的或同样多少的；也"
accelerator,"n. 加速剂, 加速器, 油门
[化] 加速器; 早强剂; 促进剂; 硫化促进剂"
destination,"n. 目的地, 目标, 目的
[计] 目的文件, 目的单元"
quaint,"a. 古雅的, 离奇有趣的, 奇怪的"
rely,"vi. 信赖, 依赖, 信任"
rely on sb.,"v. 依靠；信赖
[网络] 依赖；同本义；凭借"
rely upon sb., 信赖，依赖
rely on sth.,"v. 依靠；信赖
[网络] 依赖；同本义；凭借"
rely upon sth., 信赖，依赖
rely on sb. for,无
rely upon sb. for,无
rely on sth. for,无
rely upon sth. for,无
journey,"n. 旅行；旅程；〈文学〉历程；过程
v. 〈正式〉到…旅行；到…旅游
[网络] 旅途；路程；行程"
solely,"adv. 仅仅, 单独地"
shelter,"n. 庇护所, 避难所, 庇护, 隐蔽处, 掩蔽
vt. 庇护, 保护, 隐匿
vi. 躲避"
intrigue,"n. 阴谋, 复杂的事
vi. 密谋, 私通
vt. 激起...的兴趣, 用诡计取得"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vi. 计算；出现；扮演角色
vt. 计算；认为；描绘；象征"
gamble,"n. 赌博, 冒险
v. 赌博, 孤注一掷"
take a gamble,冒险从事(某事)
take a gamble on sth.,赌博; 冒险而为
leap,"n. 跳跃, 剧增, 急变, 被越过之物
vi. 跳跃, 突然经过
vt. 跃过, 使跃过"
leap of faith,[网络] 天降神迹；信心的跳跃；信仰之跃
cashless,"a. 无现款的,无现金的,无钱的"
almighty,"a. 万能的, 全能的"
symbol,"n. 符号, 象征, 代号, 信条
[计] 符号; 码元"
conquer,"vt. 克服, 征服, 战胜
vi. 得胜"
hoist,"v. 提升；吊起；拉高
n. 起重机；吊车；（残疾人用）升降机
[网络] 升起；举起；卷扬机"
backpack,"n. 远足用的背包；双肩背包, 背包"
display,"n. 显示, 陈列, 炫耀, 显示器
vt. 陈列, 显示, 表现, 夸示
[计] 显示器; 显示"
windshield,"n. 挡风玻璃
[电] 风遮蔽"
vague,"a. 含糊的, 不清楚的, 茫然的"
accent,"n. 重音, 口音, 特点, 注重点
vt. 重读, 加重音号于, 强调"
hitch,"n. 故障；障碍；暂时的困难（或问题）；（某种）结
v. 搭便车；免费搭车；拉起（衣服）；攀上
[网络] 全民情敌；全民情圣；钩住"
folk,"n. 人们, 家人, 亲属, 民族
a. 民间的"
cowboy,n. 牛仔；牧童；莽撞的人
capacity,"n. 容量, 能力, 才能, 资格
[计] 容量"
run contrary to,无
sedan,"n. 轿车, 轿子"
pull,"vt. 拉, 拖, 拔, 牵, 撕开, 吸引
vi. 拉, 拖, 拔, 有吸引力
n. 拉, 拖, 拔, 拉力, 牵引力, 划船, 吸引"
pick up,"n. 拾起, 加速, 刺激, 猎物的收集, 好转, 恢复健康, 搭车者, 兴奋剂, 电视摄像
[电] 拾音器"
risk one's life,拼死
drop,"n. 滴, 微量, 落下, 空投
vi. 放下, 掉下, 下降
vt. 使滴下, 放下, 丢失, 遗漏
[计] 投入, 投入点, 接入点, 分接点"
junction,"n. 连接, 会合处, 交叉点
[医] 接[合]处, 接点.[接]界"
unsuccessfully,adv. 无用；失败地
trucker,"n. 卡车驾驶员, 从事货车运输业者, 以物易物者, 小贩"
pull over,"n. 套衫
a. 套穿的"
brake,"n. 刹车, 阻碍, 丛林
v. 刹车"
skid,"n. 滑雪板[鞋,雪橇]；(导弹的)推进装置；滑水橇
v. 滑雪；坐雪橇
[网络] 打滑；栈板"
at knifepoint,以刀相逼，在刀子的威胁下；在刀尖下，在威胁下
compassionate,"a. 慈悲的, 富于同情心的, 照顾性的
vt. 怜悯, 同情"
middle-aged,a. 中年的
shepherd,"n. 牧羊人, 牧羊犬, 牧师, 保护者
vt. 看守, 领导, 指导, 牧羊"
campground,n. 露营场所；野营地
lodging,"n. 寄宿处, 寄宿
[法] 提起, 住所"
stamp,"n. 印, 邮票, 打印器, 戳子, 图章, 印花税票, 标志, 特征, 类型, 跺脚
vt. 盖章于, 顿足, 贴上邮票, 铭刻, 捣碎, 扑灭
vi. 捣碎, 跺脚"
ranger,"n. 王室守林人, 骑警, 漫游者"
sack,"n. 麻布袋, 洗劫
vt. 把...装入袋, 洗劫"
organic,"a. 器官的, 有机的, 组织的, 根本的
[医] 器官的, 有生命的, 有机的, 器质的"
melon,"n. 瓜, 甜瓜, 红利, 赃物
[化] 三聚二氰亚胺"
bundle,"n. 捆, 束
vt. 包扎, 胡乱塞进
vi. 匆忙离开"
graham,a. 全麦的；粗面粉的；全麦粉制成的
cracker,"n. 饼干, 爆竹
[计] 破袭者"
soda,"n. 苏打, 碳酸水
[化] 纯碱; 苏打; 碳酸钠"
tuna,"n. 金枪鱼, 金枪鱼肉"
chilly,"a. 寒冷的, 冷淡的, 不友好的
[建] 番椒, 冷"
rummage,"v. 仔细翻寻, 仔细搜查, 检查出
n. 仔细翻找, 查出的物件"
bulky,"a. 庞大的
[机] 庞大, 笨重"
army-style,[网络] 军风；军队的作风；军时尚路线
style,"n. 风格, 时尚, 文体, 风度, 字体, 类型
vt. 称呼, (根据新款式)设计, 使合潮流
n. 风格, 样式
[计] 风格, 样式"
elsewhere,adv. 在别处
lumber-mill,n. 锯木场
dilapidated,"a. 破坏的；荒废的, 要塌似的"
Bible,n. 圣经
grateful,"a. 感谢的, 感激的, 令人快意的, 受欢迎的"
chamber,"n. 室；卧室；寝室；会议厅
v. (枪上)装(子弹)；禁闭；使有房间
adj. 秘密的；【乐】在小厅内表演的
[网络] 会议室；议院；腔"
commerce,"n. 商业, 商务, 贸易
[经] 商业, 贸易, 商务"
clutter,"n. 杂乱；杂乱的东西（尤指不需要的或无用的）
v. 凌乱地塞满；乱堆放
[网络] 混乱；一堆杂物；喧闹"
come on in,"na. 出来；(花)开出；发行；(秘密等)现出
[网络] 进来吧；请进；快进来"
executive,"n. 执行部门, 执行委员会, 执行者, 经理主管人员
a. 执行的, 善于执行的, 善于经营的
[计] 执行程序"
brochure,"n. 小册子, 小册"
pitch,"n. 程度, 坡度, 顶点, 前倾, 倾斜, 投掷, 音高, 螺距, 节距, 摊位, 树脂, 沥青
vt. 投, 掷, 向前倾跌, 扎营, 竭力推销, 为...定调, 定位于, 用沥青涂
vi. 搭帐篷, 投掷, 向前跌, 猛然摔倒, 坠落, 倾斜
[计] 孔距"
magnificent,"a. 华丽的, 高尚的, 宏伟的"
pot roast,"〈美〉炖肉,焖肉"
roast,"n. 烤肉, 烘烤, 嘲笑
a. 烘烤的, 烤过的
vt. 烤, 炙, 烘焙, 嘲笑
vi. 烤, 炙, 烘焙"
charm,"n. 吸引力, 魔力, 符咒
vt. 迷住, 使陶醉, 行魔法
vi. 用符咒, 有魅力"
kin,"n. 亲戚；家族；同族
adj. 同类的；有亲属关系的；性质类似的
n. (Kin)人名；(缅)庆；(朝)紧；(匈、柬、塞)金；(中)金(普通话·威妥玛)"
revelation,"n. 揭露, 泄露, 发觉, 默示, 启示"
bunch,"n. 串, 束
[医] 骨肿块(马)"
seventh-grader,[网络] 七年级生
hitchhike,[网络] 搭便车；凶险旅程；搭便车到处走走看看
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
[医] 暴露, 露置"
well-mannered,"a. 行为端正的, 文雅的, 有礼貌的"
attentive,"a. 注意的, 留心的"
patriotic,"a. 爱国的, 有爱国心的
[法] 爱国的, 有爱国心的"
tone,"n. 音调, 音质, 语调, 语气, 色调, 气氛, 状况, 思想状态
vt. 给...定色调, 增强, 使...的声调和谐, 定音调
vi. 颜色调和
[计] 双音频"
renew,"vt. 使更新, 使恢复, 复兴, 修补, 补充, 继续, 重订, 重申, 续借
vi. 更新, 重新开始"
help out,"v. 帮助…摆脱困境；救出；协助
[网络] 帮忙；帮助解决困难；帮助克服困难"
help sb. out,"v. 帮助…摆脱困境；救出；协助
[网络] 帮忙；帮助解决困难；帮助克服困难"
have ... in mind,"na. 记住；铭记不忘；注意
[网络] 考虑到；想到；记得"
pessimism,"n. 悲观, 悲观情绪, 悲观主义
[医] 悲观主义"
reverse,"n. 相反, 背面, 倒退, 挫折, 失败
a. 反面的, 相反的, 反向的, 颠倒的
vt. 使颠倒, 使逆转, 使倒退, 使反向
vi. 倒退, 反向, 倒转, 反转
[计] 反转"
in reverse,"在背面,在反面,反过来"
cause-and-effect,adj. 有因果关系的
powerful,"a. 有力的, 有权力的, 强大的
[机] 强力的"
shape,"n. 形状, 形态, 外形, 形式, 身材
vt. 定形, 使成形, 塑造, 计划, 使符合
vi. 成形, 形成, 成长
[计] 形状"
ample,"a. 大量的, 充足的, 丰富的"
rational,"a. 理性的, 合理的
n. 有理数"
curse,"n. 咒骂, 诅咒
vt. 诅咒, 咒骂"
perspective,"n. 远景, 透视感, (观察问题的)视角, 透视法, 看法, 透视图
a. 透视的, 透视法的
[计] 透视"
view,"n. 视野, 风景, 见解, 视力, 观看, 视图, 指望, 意图, 印象
vt. 看, 考虑, 视察, 查看, 估量
[计] 视图"
view sth. from a ...,无
view sb. from a ...,无
despair,"n. 绝望, 失望
vi. 绝望"
highlight,"n. 加亮区, 精彩场面
vt. 加亮, 使显著, 以强光照射, 突出
[计] 突出"
slip over,"adj. 由头部套穿的
n. =slip-on"
by choice,出于选择
by nature,天生地
live through,"度过, 经受过"
crisis,"n. 危机, 危险期, 紧要关头
[医] 危象; 骤退, 临界, 极期"
when all is said and done,"adv. 毕竟,结果"
luxury,"n. 奢侈, 豪华
a. 奢侈的, 豪华的"
conversely,"adv. 相反, 逆, 颠倒, 反题, 反"
feed on,"以...为食, 以...为能源"
feed upon,[网络] 饲养
prophecy,"n. 预言, 预言能力"
self-fulfilling prophecy,"自我应验的预言；自我实现预言, 自我实现预言、自我应验预言"
service station,"n. 加油站
[网络] 服务站；服务台；维修站"
gas,"n. 气体；气体燃料；煤气；天然气
v. 用毒气杀伤；使吸入毒气；闲聊；空谈
abbr. (=gasoline)
adj. 〈美俚〉喝醉酒的
[网络] 汽油；四眼炉；气弹簧活塞"
attendant,"n. 随从, 侍者, 出席者
a. 侍候的, 伴随的, 出席的, 在场的"
odd,"a. 奇数的, 古怪的, 剩余的, 零散的, 各种各样的, 少量的
n. 奇特的事物, 怪人
[计] 奇数, 奇校验, 光数据数字转换器"
uneasy,"a. 心神不安的, 不自在的, 不稳定的, 不舒服的"
liver,"n. 肝脏, 生活者, 居民
[医] 肝"
gas station,n. 加油站
figure out,"na. 估计；解决；了解；〈口〉确定
[网络] 弄清楚；算出；推测"
disgusting,a. 令人厌恶的
hepatitis,"n. 肝炎
[医] 肝炎"
observation,"n. 观察, 注意, 观测, 观察力
[化] 观察"
negativism,"n. 否定论, 否定态度, 抗拒性
[医] 违拗症, 抗拒症"
affirmation,"n. 肯定, 断言, 证实
[医] 肯定, 确认"
thankful,"a. 感谢的, 感激的, 欣慰的"
tradition,"n. 传说, 传统, 交付
[法] 传统, 惯例, 移交"
incredible,a. 难以置信的
accomplish,"vt. 完成, 达到, 实现, 使完美"
naive,"a. 天真的, 纯真的, 幼稚的"
make a difference,"有区别,有很大关系"
solver,"[计] 解算机, 求解程序"
raise,"n. 上升, 高地, 增高
vt. 升起, 举起, 唤起, 提高, 使出现, 使复活, 提出, 筹集, 饲养"
in ... terms,"用...的话来说, 以...的措词, 用...的思想方法, 在...方面, 从...方面说来"
in terms of ...,"用...的话, 根据, 按照, 在...方面
[法] 用...话, 以...措词, 按照"
address,"n. 住址, 演说, 举止, 灵巧, 求爱
vt. 发表(演说或讲话), 对付, 写地址
[计] 地址, 寻址"
criticize,"v. 批评, 吹毛求疵, 非难"
benefit,"n. 利益
vt. 有益于
vi. 受益"
mankind,"n. 人类, 男性"
channel,"n. 海峡, 航道, 频道
vt. 引导, 在...上挖沟, 形成河道
[计] 信道, 通道"
channel sth. into sth.,通过一种渠道传送
constructive,"a. 建设性的, 构造上的
[医] 构成的"
concerned with, 关心; 涉及; 忙于; 与…有关
unlimited,"a. 无限的, 不受限制的, 无条件的
[经] 无限的, 不定的"
shadowland,[网络] 幻境
many a,n. (Manya)人名；(法)马尼亚
fame,"n. 名望, 名声, 传说"
private,"adj. 私有的；私用的；自用的；为一部分人的
n. 列兵（级别最低的士兵）
[网络] 私人的；个人的；二等兵"
reward,"n. 报酬, 酬谢, 赏金
vt. 奖赏, 酬谢, 给...应有报应"
neglect,"n. 疏忽, 忽略, 漏做
vt. 疏忽, 忽视, 不顾"
freelance,"n. 自由作家, 自由投稿, 自由职业者
a. 自由投稿的"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
storage,"n. 存储器, 储藏, 保管, 库存, 仓库
[计] 存放处; 存储"
superintendent,"n. 监督人, 主管人, 主日学校校长
[经] 监督人, 主管人(部门)"
manual,"n. 手册, 指南
a. 手的, 手动的, 手工的, 体力的
[计] 人工的, 手动的"
genuine,"a. 真正的, 真实的, 诚恳的
[医] 真性的"
put ... to the test,"na. 试验
[网络] 检验；使受检验；使受试验"
uncertainty,"n. 不确定, 不可靠, 不确定的事物
[化] 不确定度"
agent,"n. 代理商, 政府代表, 动原, 媒介
[计] 代理程序"
editor,"n. 编者, 编辑, 主笔, 编辑器, 编辑装置
[计] 编辑器"
contract,"n. 合约, 婚约, 契约
vt. 使皱缩, 使缩短, 感染, 订约, 缔结
vi. 皱缩, 订约, 收缩"
siren,"n. 女海妖, 妖女, 警报器, 汽笛, 迷人的美女
a. 诱惑的
vi. 响着警报器前进"
tempt,"vt. 诱惑, 引诱, 引起...的兴趣, 吸引, 冒...风险"
acquaintance,"n. 认识, 相识者"
station,"n. 车站, 站, 局, 驻地, 位置, 身分, 地位
vt. 安置, 配置, 驻扎
[计] 站"
buck,"n. 元, 雄鹿, 纨绔子弟, 鞍马, 培克(赌博时的庄家标志), 碱水, 自夸, 谈话
vi. 马背突然拱起, 反对, 吹牛, 闲聊
vt. 马背突然拱起将骑手摔下, 反对, 用碱水洗
a. 雄的"
tease,"n. 揶揄, 戏弄, 逗惹
vt. 戏弄, 取笑, 强求, 梳理, 使起毛"
on the side,"作为兼职, 另外"
bull-headed,[网络] 牛脾气；一根筋
resolution,"n. 解析, 决心, 坚定, 决定, 决议, 消除, 解答, 分解
n. 图形分辨率
[计] 图形分辨率"
well,"adv. 好；很；大大地；对
n. 井；水井；楼梯井；电梯井道
int. 噢；啊；好啦；嗨
adj. 健康；身体好；状态良好；情况良好
v. 涌出；冒出；流出；溢出
short. we will；we shall
[网络] 好的"
stick it out,坚持到底
afterward,"adv. 然后, 后来"
pace,"n. 速度, 步调, 步法
vi. 踱步, 缓慢走
vt. 用步测, 踱步于"
cupboard,"n. 食橱, 碗柜, 餐具柜"
crate,"n. 板条箱；篓
vt. 将某物装入大木箱或板条箱中"
sardine,n. 沙丁鱼
plunge,"n. 钻进, 跳进, 跳水, 跳水池, 猛跌, 落下, 投入, 开始从事, 盲目投资
vi. 投入, 投身于, 跳进, 陷入, 下降
vt. 使投入, 使插入, 使陷入, 使遭受"
plunge in,"un. 〔地〕伏角；单刀直入；趁势插话
[网络] 积极参加；猛刺"
plunge into,"投入, 跳入"
plunge ... in,"un. 〔地〕伏角；单刀直入；趁势插话
[网络] 积极参加；猛刺"
plunge ... into,"投入, 跳入"
come up with,"赶上, 提出"
crumple,"vt. 弄皱, 压皱
vi. 崩溃, 变皱"
goodness,"n. 仁慈, 善良"
veteran,"n. 老手, 退伍军人, 老兵, 老树
a. 老兵的, 老练的, 经验丰富的"
grocer,n. 食品商
wither,"vt. 使凋谢, 使消亡, 使畏缩
vi. 枯萎, 衰退"
rumor,"n. 谣言, 传闻
vt. 谣传"
rumour has it,[网络] 有谣言；有谣言说；流言
rumor has it that,[网络] 据传闻；据说；谣传
steak,"n. 牛排, 鱼排, 肉排"
dash,"n. 冲撞, 破折号, 短跑
vi. 猛冲, 冲撞
vt. 泼溅, 使猛撞, 搀和, 使破灭, 使沮丧"
role model,n. 榜样；崇拜对象
sacrifice,"n. 牺牲, 供奉, 祭品
vt. 牺牲, 祭祀, 贱卖
vi. 献祭"
make sacrifices,"作出牺牲, 付出代价"
gradually,adv. 逐渐地
slavery,"n. 奴隶的身分, 奴隶状态, 奴隶制度
[法] 奴隶制度, 奴役, 苦役"
trace,"n. 痕迹, 踪迹, 微量, 迹线, 缰绳
vt. 追踪, 回溯, 描绘
vi. 追溯, 沿路走"
dazzle,"v. (使)眼花, 炫耀
n. 耀眼"
limelight,"n. 石灰光, 石灰光灯, 以石灰光灯照射的舞台
vt. 使受到注目, 使显露头角"
pack up,"na. 把…打成包；打包；收拾行李；解雇
[网络] 把…打包；打理行装；停止工作"
TV mini-series,无
in a sense,在某种意义上
in one sense,[网络] 的意思；就某种意义上说；在某种意义上
come across,偶遇
corrode,"vt. 使腐蚀, 侵蚀, 破坏
vi. 被侵蚀, 起腐蚀作用"
dime,n. 10分硬币(美、加)
flood in,"v. 涌到
[网络] 浮色"
tide,"n. 潮, 潮汐, 趋势, 潮流, 涨潮, 高潮
vt. 使随潮漂流
vi. 顺潮行驶"
bleak,"a. 萧瑟的, 荒凉的, 阴冷的"
portrait,"n. 肖像, 人像, 半身像, 描写, 竖排格式
[计] 纵向"
medal,"n. 奖牌, 勋章
vt. 授勋予"
press,"press1
[pres]
vt.
压；按；揿；扳：
压榨；压挤；榨取：
压缩；压制；(尤指用熨斗)熨平：
使紧贴；紧抱；紧握：
逼迫；强迫；强制：
挤出(路)：
力劝，催促；催逼；敦促：
恳求，请求；坚持；强调：
压制；把…压(或捏)成型：
强迫接受；硬塞：
使苦恼；使烦恼；使窘迫：
驱赶；推动：
竭力推行；执行；实施：
需立即处理；紧急；使紧迫：
进逼；进攻：
【举重】推举：
生搬硬套(或牵强附会)地使用(词语、比喻等)
[古语]拥挤；推进
[废语]=oppress
[美国俚语](在大街或马路上)闲逛
[美国俚语](警察在辖区内)巡逻
[美国俚语](尤指政治家与选民)握手；讨好选民
vi.
压；挤；按；推：
催逼；紧迫；敦促：
熨烫；被压平：
奋勇前进，突进；赶上前：
变得紧急(或紧迫)：
竭力推行；竭力要求：
挤拢，拥挤：
【篮球】紧逼，做紧逼动作
【高尔夫球】长挥击球过猛
n.
压；按；揿；扳
人丛，人群；拥挤；蜂拥向前
压榨机；压力机；冲床；打包机；吐丝器；夹具
紧迫；紧急；急迫
承压；受压；压力
驱赶；推动；逼迫
熨平；压平；(衣服熨平后的)平整状态；(衣服)熨后的线条
印刷出版机构;印刷业[printing press 的缩略]
[总称]新闻，杂志；从事印刷业者；新闻界；出版界；通讯社；新闻记者
报刊上的评论；新闻报道
白刃战；混战
柜，衣橱；书箱；书橱
【举重】推举
【篮球】紧逼防守
【心理学】(人格理论用语，指个人行为的环境决定因素)压力
全力射击
附加打赌
生物体对环境中任何事物的需要
近义词:
urge
短语:
at (或 in the ) press
在排印中；正在印刷中；即将出版(或发表)
be hard pressed
被逼得很紧；手头拮据，经济困难
面临强大的攻势，受到猛烈攻击
be (hard) pressed for
缺乏，缺少(金钱、时间等)
bring to (the )press
使开印；把…出版(或发表)
correct the press
校对排版上的错误，校对
go (或 come,send) to press
(报刊等)付印；开始印刷
gutter press
迎合低级趣味的报纸
have a good press
在报上获得好评
in the press
=at press
off the press
已印好；出版，已发行
out of press
绝版；卖光
press ahead (或 forward)
加紧进行；决心继续，继续干(与 with连用)
努力前进
press an attack
强袭
press hard upon
进逼；压迫；穷追
press home
坚定不移地进行下去
极力主张；令人信服地阐明
press of canvas (或sail)
满帆，扯满所有风帆
press one's way
奋力前进；向前挤
press someone to death
把某人折磨致死
press something (up) on someone
把某事物强加于某人，坚持要某人接受某事物
press the button
按电铃；动手干
press the matter to a division
坚持要把事情弄个明白
press the words
坚持字面意思
stop the presses
(为了插入最新消息)暂停开印报纸
the reptile press
(资本主义国家中)向政府献媚的半官方报纸，卖身投靠的报纸
the yellow press
黄色报刊
underground press
地下刊物
[美国英语]急进派刊物；新派刊物；野鸡刊物
press2
[pres]
vt.
强迫服兵役(常指陆军或海军)；强迫服役：
(尤指紧急)征用：
vi.
强迫征兵，抓壮丁
n.
强迫服兵役(尤指陆军、海军)；抓壮丁
[废语]强迫服役令
press
abbr.
pressure"
be pressed to do sth.,无
be hard pressed to do sth.,无
persistence,"n. 固执, 坚持不懈, 持续(性), 存留(状态)
[电] 持久"
stay the course,"na. 始终不渝；(赛跑的马)跑到终点；坚持到底
[网络] 坚守既定方针"
commencement,"n. 开始, 毕业典礼
[法] 开始, 毕业典礼"
truth be told,[网络] 老实说；说实话；真相大白
dot,"n. 点, 圆点, 小数点, 小东西, 嫁妆
vt. 作小点记号, 加小点于
vi. 打上点
[计] 点"
drop out,"n. 退学学生, 中途退学
[电] 离去"
drop-in, [医]溴甲阿托品，溴化甲基阿托品，溴甲烷阿托品[抗消化性溃疡药]
biological,"a. 生物学的
[医] 生物学的"
unwed,a. 没有结婚的；未婚的
put sb. up,"举起, 抬起, 进行, 推举, 参加竞选, 提供, 建造, 接待, 包装, 公布, 上演
[化] 搭架"
adoption,"n. 采用, 采纳, 收养
[法] 收养, 采纳, 采用"
adopt,"vt. 采用, 正式通过, 收养, 接受
[医] 采取"
relent,"vi. 变温和，变宽厚；减弱；缓和
vt. 使变温和；减轻
v. 再借给（relend的过去分词）"
required,a. 必需的
drop in, [医]溴甲阿托品，溴化甲基阿托品，溴甲烷阿托品[抗消化性溃疡药]
stumble,"n. 绊倒, 蹒跚而行, 失足
vt. 使绊倒, 使困惑
vi. 绊倒, 失足, 失策, 犯错, 蹒跚, 踌躇"
stumble into sth.,"跌入,无意中进入,误入,无意中发现,偶然找到"
priceless,"a. 无价的, 极贵重的"
campus,"n. 校园, 大学生活"
poster,"n. 海报, 招贴, 驿马"
label,"n. 标签, 称号, 商标, 标志
vt. 贴标签于, 标注
[计] 标志; 标注; DOS外部命令:用于建立改变或删除磁盘卷标号"
drawer,"n. 抽屉, 开票人
[计] 抽屉"
hand-calligraphy,无
calligraphy,"n. 笔迹, 书法"
serif,"n. 西文字体中的短细线, 衬线
[计] 衬线"
sans-serif,"un. 无细线之活字
[网络] 无衬线体；无衬线字体；无衬线类"
typeface,"un. 字样；字体；打印页
[网络] 活字字面；字体深浅；种字体"
typography,"n. 凸版印刷术, 排印, 印刷版面式样"
artistically,"adv. 富有艺术地, 在艺术上"
subtle,"a. 敏锐的, 精细的, 狡猾的, 稀薄的, 灵巧的, 微妙的
[医] 锐敏的; 精细的"
capture,"n. 抓取, 战利品, 捕获之物
vt. 抓取, 获得, 迷住
[计] 截获命令"
fascinating,"a. 迷人的, 吸引人的, 使人神魂颠倒的"
application,"n. 应用, 申请, 志愿书, 应用程序
[计] 应用, 应用程序"
proportionally," 按比例地, 相配合地, 适当地"
space,"n. 位置, 空间, 距离, 太空, 空白, 间隔, (期刊等的)篇幅
vt. 隔开, 分隔
vi. 留间隔
[计] 空白, 空格校验"
font,"n. 字体, 字形, 洗礼盘, 泉
[计] 字体"
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
billion,"num. 十亿, 十亿个"
creation,"n. 创造, 创作物, 发明
[化] 产生"
diverge,"vi. 分歧, 岔开
vt. 使岔开"
eventually,"adv. 最后, 终于"
fall out,"脱落, 离队, 争吵, 结果是
[化] 落下; 脱落; 散落物; 核爆炸散落物; 沉降物; 落下灰"
board of directors,"[经] 董事会, 理事会"
side,"n. 边；身边；一边；一面
adj. 旁；横；副的；片面的
v. 支持；偏袒；宽度仅有…；站在…的一边
[网络] 旁边；侧面；方面"
devastating,"a. 毁灭性的, (非正式)很好的, 引人注目的"
dawn on,被理解
dawn upon,[网络] 渐被感知
start over,[计] 启动
heaviness,"n. 重, 沉闷, 情绪低落, 忧伤, 迟钝, 笨拙"
lightness,"n. 光亮度, (颜色的)浅淡, 轻率, 轻佻, 轻浮, 轻盈, 轻松, 轻巧, 精巧, 优美
[计] 亮度"
computer-animated,[网络] 电脑动画
feature film,"na. 正片；故事片
[网络] 长片"
